produto,persona,jornada,tela,regra,endpoint_ou_evento,entidade,permissao,evidencia,teste_paridade,status,prioridade
web,recepcionista,Agendar consulta,/agenda,BR-AGENDA-002,POST /api/appointments,appointments;recurring_series,auth+org,"SRC agenda;DB-003",T-AGENDA-conflito-409,Confirmada em produção,P1
web,recepcionista,Reagendar por arrastar e soltar,/agenda,BR-AGENDA-001;BR-AGENDA-002,PATCH /api/appointments/:id,appointments,auth+org,"memória agenda FullCalendar",T-AGENDA-resize-persist,Confirmada em produção,P1
web,paciente,Booking público,/booking (public),BR-AGENDA-013,POST /api/public-booking/booking,public_booking_requests,public+turnstile,"SRC publicBooking.ts:125",T-BOOKING-slots-vazamento,Confirmada,P1
pro,fisioterapeuta,Atender e evoluir,/evolucao-clinica,BR-EVOLUCAO-002;BR-EVOLUCAO-005,"PUT /api/sessions/:id;WS EvolutionCollaboration",sessions;evolution_versions,auth+org,"memória evolução;DO",T-EVO-autosave-idempotente,Confirmada em produção,P1
web,fisioterapeuta,Ditar evolução,/evolucao-clinica,BR-EVOLUCAO-008;BR-EVOLUCAO-009,WS VoiceScribeAgent,sessions.observacao,auth+org,"memória ditado",T-EVO-ditado-WER,Confirmada (gate pendente),P1
web,fisioterapeuta,Colaborar em tempo real,/evolucao-clinica,BR-EVOLUCAO-007;BR-EVOLUCAO-003,WS EVOLUTION_COLLABORATION,sessions.observacao_ydoc,auth+org+rbac,"memória evolução colaborativa",T-EVO-concorrencia,Confirmada em produção,P1
web,fisioterapeuta,Prescrever HEP,/exercicios,BR-EXERCICIO-001;BR-EXERCICIO-003,POST /api/exercise-plans,exercise_plans;exercise_plan_items,auth+org,"DB;399 exercises",T-HEP-prescricao,Implementada,P2
pac,paciente,Executar HEP,app HEP,BR-EXERCICIO-001;BR-EXERCICIO-004,POST /api/patient-exercise-logs,patient_exercise_logs,patient-jwt,"SRC patient-app",T-HEP-log-offline,Parcial,P2
web,admin,Vender e consumir pacote,/financeiro,BR-FINANCEIRO-003;BR-FINANCEIRO-004;BR-FINANCEIRO-005,"POST /api/packages/patient-package/:id/use;POST /api/financial/patient-packages/:id/consume",patient_packages;package_usage,auth+org(sem role⚠️),"BR-FINANCEIRO",T-PKG-consumo-atomico,Confirmada,P1
web,admin,Registrar comissão,/financeiro,BR-FINANCEIRO-006,GET/POST /api/commissions,therapist_commissions,auth+org(sem role⚠️),"commissions.ts:30",T-COMISSAO-default-40,Implementada,P2
web,admin,Emitir NFS-e,/financeiro,BR-FINANCEIRO-011,POST /api/nfse (workflow),nfse_records;nfse_config,auth+org,"CF-006;DB-003 (0 emitidas)",T-NFSE-emissao,Parcial,P2
web,recepcionista,Atender WhatsApp,/crm-whatsapp,BR-CRM-002,"GET/POST /api/whatsapp/*;WS;queue whatsapp-inbound",wa_conversations;wa_messages,auth+wa-rbac,"agente APIs;whatsapp-rbac.ts",T-WA-janela24h,Confirmada em produção,P1
web,recepcionista,Automação CRM,/crm-whatsapp,BR-CRM-001,"cron */15;automation-executor",automations;crm_automation_rules,auth+org,"BR-CRM-001 (gated OFF)",T-CRM-automation-gate,Confirmada (gated),P1
api,sistema,Roteirizar lead,-,BR-CRM-007,mapConversationRow,leads;contact_scores,api,"leadScore.ts",T-LEAD-score-deterministico,Confirmada,P2
web,fisioterapeuta,Alertar retorno médico,/pacientes,BR-RETORNO-001,"GET/POST /api/patients/:id/medical-returns;wa.me",patient_medical_returns;medical_reports,auth+org,"memória retorno médico",T-RETORNO-envio,Confirmada em produção,P2
web,gestor,Gerenciar tarefas,/tarefas,BR-TAREFAS-001,POST/PATCH /api/tarefas,tarefas;boards;board_columns,auth+org,"memória tarefas",T-TAREFA-dependencia-409,Confirmada em produção,P2
web,paciente,Responder NPS,-,BR-NPS-001;BR-NPS-002,POST /api/public-nps/:token/respond,nps_surveys,public+token,"DB trigger trg_nps_on_response",T-NPS-trigger,Implementada,P3
web,admin,Login e resolver contexto da organização,/login,BR-AUTH-001;BR-AUTH-004,"Neon Auth JWT;GET /__neon-auth/token",neon_auth.*;profiles;organizations,public→auth,"authentication.md;DB-002",T-AUTH-rls-isolamento,Confirmada em produção,P1
web,admin,Aprovar cadastro,/admin,BR-AUTH-005,POST /api/profile/admin/approve/:profileId,profiles(role pending),admin,"agente RBAC",T-AUTH-aprovacao,Confirmada,P2
pac,paciente,Login portal por OTP,app,BR-PACIENTE-006,"POST /api/patient-portal/auth/request-otp;POST /api/patient-portal/auth/verify-otp",patients;patient_sessions,public(sem rate-limit⚠️),"patientPortal.ts:499-576",T-PORTAL-otp-ratelimit,Parcial,P1
pro,fisioterapeuta,Lab biomecânico,app biomecanica,"N/A (feature mock; decision gate)","POST /api/biomechanics;biomechanics-analysis WF",biomechanics_*,auth+org,"agente mobile (mock UI)",T-BIOMEC-analise,Mock,Fora do P1
web,admin,Consultar auditoria e LGPD,/admin,"N/A (controle LGPD; doc 10)","GET /api/audit-logs;GET /api/lgpd/clinical-access-logs;POST /api/lgpd/data-deletion-request",audit_logs;clinical_access_logs;lgpd_deletion_requests,admin,"agente RBAC;422 logs",T-LGPD-exclusao,Implementada,P1
